Validator,PT_VERSION,2.3.0
Validator,ROCM_VERSION,6.0.0.0-91-08e5094
Validator,HIPBLASLT_VERSION,0.6.0-592518e7
Validator,GCN_ARCH_NAME,gfx942:sramecc+:xnack-
Validator,ROCBLAS_VERSION,4.0.0-88df9726-dirty
GemmTunableOp_float_NN,nn_64_512_256,Gemm_Rocblas_68875,0.00658916
GemmTunableOp_float_NN,nn_512_64_128,Gemm_Rocblas_68907,0.00646757
GemmTunableOp_float_NN,nn_256_2048_64,Gemm_Rocblas_68880,0.00791034
GemmTunableOp_float_NN,nn_512_256_128,Gemm_Rocblas_68894,0.00634156
GemmTunableOp_float_NN,nn_2048_64_64,Gemm_Rocblas_68916,0.00787757
GemmTunableOp_float_NN,nn_128_128_128,Gemm_Rocblas_68879,0.00586557
GemmTunableOp_float_NN,nn_512_2048_128,Gemm_Rocblas_68886,0.00802635
GemmTunableOp_float_NN,nn_512_64_4096,Gemm_Hipblaslt_NN_33077,0.0156691
GemmTunableOp_float_NN,nn_256_4096_512,Gemm_Rocblas_68908,0.0191323
GemmTunableOp_float_NN,nn_64_1024_128,Gemm_Rocblas_68912,0.00629557
GemmTunableOp_float_NN,nn_512_256_256,Gemm_Rocblas_68875,0.00687676
GemmTunableOp_float_NN,nn_64_128_512,Gemm_Rocblas_68875,0.00926915
GemmTunableOp_float_NN,nn_2048_64_256,Gemm_Rocblas_68875,0.00686557
GemmTunableOp_float_NN,nn_2048_512_2048,Gemm_Rocblas_68899,0.0570189
GemmTunableOp_float_NN,nn_64_2048_1024,Gemm_Hipblaslt_NN_33000,0.0147075
GemmTunableOp_float_NN,nn_2048_64_1024,Gemm_Hipblaslt_NN_33000,0.0141995
GemmTunableOp_float_NN,nn_256_64_4096,Gemm_Hipblaslt_NN_33015,0.0154335
GemmTunableOp_float_NN,nn_512_512_128,Gemm_Rocblas_68875,0.00628877
GemmTunableOp_float_NN,nn_4096_256_2048,Gemm_Rocblas_68899,0.0570822
GemmTunableOp_float_NN,nn_2048_128_128,Gemm_Rocblas_68875,0.00615397
GemmTunableOp_float_NN,nn_256_128_4096,Gemm_Hipblaslt_NN_33009,0.0145863
GemmTunableOp_float_NN,nn_64_128_64,Gemm_Rocblas_68883,0.00779757
GemmTunableOp_float_NN,nn_1024_64_4096,Gemm_Hipblaslt_NN_33075,0.0193923
GemmTunableOp_float_NN,nn_512_256_512,Gemm_Rocblas_68913,0.00947276
GemmTunableOp_float_NN,nn_64_128_2048,Gemm_Hipblaslt_NN_32630,0.0141179
GemmTunableOp_float_NN,nn_256_256_512,Gemm_Rocblas_68875,0.00923155
GemmTunableOp_float_NN,nn_4096_128_1024,Gemm_Rocblas_68907,0.0222379
GemmTunableOp_float_NN,nn_128_64_512,Gemm_Rocblas_68875,0.00908356
GemmTunableOp_float_NN,nn_512_1024_4096,Gemm_Rocblas_68876,0.0650144
GemmTunableOp_float_NN,nn_64_256_4096,Gemm_Hipblaslt_NN_33328,0.0152867
GemmTunableOp_float_NN,nn_1024_64_512,Gemm_Rocblas_68907,0.00926836
GemmTunableOp_float_NN,nn_1024_64_1024,Gemm_Hipblaslt_NN_33000,0.0140987
GemmTunableOp_float_NN,nn_4096_1024_1024,Gemm_Hipblaslt_NN_33663,0.100013
GemmTunableOp_float_NN,nn_4096_512_256,Gemm_Rocblas_68874,0.0183283
GemmTunableOp_float_NN,nn_4096_128_512,Gemm_Rocblas_68888,0.0140227
GemmTunableOp_float_NN,nn_128_256_2048,Gemm_Hipblaslt_NN_33327,0.0150671
GemmTunableOp_float_NN,nn_128_1024_128,Gemm_Rocblas_68907,0.00631236
GemmTunableOp_float_NN,nn_4096_128_4096,Gemm_Hipblaslt_NN_33621,0.0663393
GemmTunableOp_float_NN,nn_256_64_512,Gemm_Rocblas_68875,0.00907795
GemmTunableOp_float_NN,nn_2048_64_128,Gemm_Rocblas_68903,0.00629277
GemmTunableOp_float_NN,nn_1024_256_1024,Gemm_Rocblas_68907,0.0158975
GemmTunableOp_float_NN,nn_4096_1024_512,Gemm_Rocblas_68870,0.0529007
GemmTunableOp_float_NN,nn_512_256_4096,Gemm_Hipblaslt_NN_33076,0.0297868
GemmTunableOp_float_NN,nn_128_2048_64,Gemm_Rocblas_68881,0.00747355
GemmTunableOp_float_NN,nn_256_1024_64,Gemm_Rocblas_68879,0.00802275
GemmTunableOp_float_NN,nn_64_64_128,Gemm_Rocblas_68875,0.00594158
GemmTunableOp_float_NN,nn_4096_256_4096,Gemm_Hipblaslt_NN_32837,0.112017
GemmTunableOp_float_NN,nn_4096_512_2048,Gemm_Hipblaslt_NN_33511,0.103267
GemmTunableOp_float_NN,nn_256_1024_4096,Gemm_Hipblaslt_NN_32792,0.0435313
GemmTunableOp_float_NN,nn_512_512_512,Gemm_Rocblas_68913,0.0100363
GemmTunableOp_float_NN,nn_2048_64_512,Gemm_Rocblas_68913,0.00960595
GemmTunableOp_float_NN,nn_2048_4096_1024,Gemm_Hipblaslt_NN_33401,0.181262
GemmTunableOp_float_NN,nn_256_256_1024,Gemm_Hipblaslt_NN_32978,0.0123607
GemmTunableOp_float_NN,nn_256_64_1024,Gemm_Hipblaslt_NN_33000,0.0117324
GemmTunableOp_float_NN,nn_1024_2048_256,Gemm_Rocblas_68874,0.0181295
GemmTunableOp_float_NN,nn_512_1024_1024,Gemm_Rocblas_68914,0.0206475
GemmTunableOp_float_NN,nn_4096_128_2048,Gemm_Rocblas_68907,0.0357578
GemmTunableOp_float_NN,nn_2048_64_2048,Gemm_Hipblaslt_NN_32694,0.0211591
GemmTunableOp_float_NN,nn_4096_512_1024,Gemm_Rocblas_68873,0.0537415
GemmTunableOp_float_NN,nn_1024_256_2048,Gemm_Hipblaslt_NN_34012,0.0273555
